taxon_name,Mean_CENF,Mean_CMIX,Mean_DESE,Mean_ENWD,Mean_GRAM,Mean_TEDE,Mean_TUND,Mean_WTSFS,Mean_XSHB,Stdev_CENF,Stdev_CMIX,Stdev_DESE,Stdev_ENWD,Stdev_GRAM,Stdev_TEDE,Stdev_TUND,Stdev_WTSFS,Stdev_XSHB
Crassulaceae,0.019880467,0.048820869,0.184555634,0.003839413,0.02774443,0.040537624,0.103637489,0.026471001,0.100402713,0.214550439,0.320957942,1.555093412,0.022746151,0.204897882,0.12730565,0.582204392,0.113723038,0.751218608
Crataegus,0,0.001449906,0,0.015947582,0.005033179,0.021826301,0,0.036769424,0.019331111,0,0.016658152,0,0.125434756,0.028971326,0.195645197,0,0.270846194,0.137450899
Cucurbitaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cupressaceae,1.680759897,0.539402063,1.07374899,2.237964065,0.429794587,2.439938738,1.300799778,2.253441845,10.14442621,2.580992343,1.494453837,3.376645179,7.767519278,0.878619413,7.008021163,2.247048327,6.074627055,18.54234261
Cynomorium,0,0,0,0,0.012240902,0,0,0,0,0,0,0,0,0.140637251,0,0,0,0
Cyperaceae,2.011377536,4.029963639,0.55246988,1.755645327,3.372050762,3.140229415,4.830792521,2.331284055,0.265013614,3.225753506,9.048963862,1.799560318,4.508987232,7.215985611,6.081780615,5.678741551,6.223827573,0.858596751
Cytinaceae,0,0,0,0,0,0,0,0.002164502,0,0,0,0,0,0,0,0,0.024868238,0
Daphne,0,0.00194984,0,0.003102507,0,0.003433066,0,0.067321747,0,0,0.019348155,0,0.031333783,0,0.020572678,0,0.27647081,0
Datisca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphinium,0,0,0,0.003433805,0,0,0,0,0,0,0,0,0.028536089,0,0,0,0,0
Dennstaedtiaceae,0.053203761,0.260877142,0,0.031585822,0.012372556,0.537671532,0.046502765,0.441035683,0,0.412096057,2.377989042,0,0.105442711,0.05285893,1.99649095,0.142315157,1.903104654,0
Diapensia,0.000210354,0,0,0,0,0,0.180728925,0,0,0.002416781,0,0,0,0,0,1.23130288,0,0
Dryas,0.003070199,0.001037327,0,0,0,0,0.054058607,0,0,0.024482132,0.011917974,0,0,0,0,0.24012332,0,0
Elaeagnus,0,0,0,0,0.082701954,0,0,0,0,0,0,0,0,0.574559657,0,0,0,0
Empetrum,0.215111079,0.030777609,0,0,0,0.091622121,1.746397318,0,0,0.83275645,0.195497269,0,0,0,1.05265803,3.811016859,0,0
